datetime,stage,q,q_sigma
2010-10-27 10:00:00,1.55,121.0,4.24
2010-12-30 11:00:00,1.05,77.6,1.94
2011-05-23 10:00:00,1.31,97.8,2.44
2011-05-24 10:00:00,1.46,118.5,2.96
2011-05-24 10:01:00,1.41,112.5,2.81
2011-05-25 10:00:00,1.61,133.7,3.34
2011-06-01 10:00:00,2.36,225.0,7.88
2011-07-12 10:00:00,1.32,101.0,3.54
2011-09-22 10:00:00,1.27,103.8,2.6
2011-09-29 10:00:00,1.04,76.4,1.91
2011-09-30 10:00:00,1.11,81.7,2.04
2011-10-06 10:00:00,1.15,86.8,2.17
2011-10-07 10:00:00,1.04,74.7,1.87
2011-10-07 10:01:00,1.01,75.95,1.9
2011-10-13 10:00:00,1.43,111.7,2.79
2011-10-20 10:00:00,1.66,142.4,3.56
2011-10-21 10:00:00,1.04,74.9,1.87
2011-10-21 10:01:00,1.27,98.4,2.46
2011-11-03 11:00:00,1.31,102.9,2.57
2011-11-04 11:00:00,1.34,103.2,2.58
2011-11-10 11:00:00,1.22,94.4,2.36
2011-11-17 11:00:00,1.58,130.0,3.25
2011-11-17 11:01:00,1.74,150.0,3.75
2011-11-18 11:00:00,1.36,107.3,2.68
2011-11-24 11:00:00,1.34,107.4,2.68
2011-11-24 11:01:00,0.94,65.2,1.63
2011-11-24 11:02:00,1.18,85.7,2.14
2011-12-01 11:00:00,1.06,74.5,1.86
2011-12-08 11:00:00,1.95,177.0,4.42
2012-01-06 11:00:00,2.77,288.8,7.22
2012-03-21 11:00:00,1.6,132.0,3.3
2012-12-06 11:00:00,1.95,181.0,4.53
