q,stage
1536.0,8.04
1544.0,8.05
1552.0,8.06
1561.0,8.07
1569.0,8.08
1578.0,8.09
1586.0,8.1
1595.0,8.11
1604.0,8.12
1612.0,8.13
1621.0,8.14
1630.0,8.15
1639.0,8.16
1647.0,8.17
1656.0,8.18
1665.0,8.19
1674.0,8.2
1683.0,8.21
1692.0,8.22
1701.0,8.23
1710.0,8.24
1719.0,8.25
1728.0,8.26
1737.0,8.27
1747.0,8.28
1756.0,8.29
1765.0,8.3
1775.0,8.31
1784.0,8.32
1793.0,8.33
1803.0,8.34
1812.0,8.35
1822.0,8.36
1831.0,8.37
1841.0,8.38
1851.0,8.39
1860.0,8.4
1870.0,8.41
1880.0,8.42
1890.0,8.43
1899.0,8.44
1909.0,8.45
1919.0,8.46
1929.0,8.47
1939.0,8.48
1949.0,8.49
1959.0,8.5
1969.0,8.51
1980.0,8.52
1990.0,8.53
2000.0,8.54
2009.0,8.55
2018.0,8.56
2027.0,8.57
2037.0,8.58
2046.0,8.59
2055.0,8.6
2064.0,8.61
2074.0,8.62
2083.0,8.63
2092.0,8.64
2102.0,8.65
2111.0,8.66
2121.0,8.67
2130.0,8.68
2140.0,8.69
2149.0,8.7
2159.0,8.71
2169.0,8.72
2178.0,8.73
2188.0,8.74
2198.0,8.75
2208.0,8.76
2217.0,8.77
2227.0,8.78
2237.0,8.79
2247.0,8.8
2257.0,8.81
2267.0,8.82
2277.0,8.83
2287.0,8.84
2297.0,8.85
2307.0,8.86
2317.0,8.87
2327.0,8.88
2338.0,8.89
2348.0,8.9
2358.0,8.91
2368.0,8.92
2379.0,8.93
2389.0,8.94
2399.0,8.95
2410.0,8.96
2420.0,8.97
2431.0,8.98
2441.0,8.99
2452.0,9.0
2462.0,9.01
2473.0,9.02
2484.0,9.03
2494.0,9.04
2505.0,9.05
2516.0,9.06
2527.0,9.07
2538.0,9.08
2548.0,9.09
2559.0,9.1
2570.0,9.11
2581.0,9.12
2592.0,9.13
2603.0,9.14
2614.0,9.15
2626.0,9.16
2637.0,9.17
2648.0,9.18
2659.0,9.19
2670.0,9.2
2682.0,9.21
2693.0,9.22
2704.0,9.23
2716.0,9.24
2727.0,9.25
2739.0,9.26
2750.0,9.27
2762.0,9.28
2773.0,9.29
2785.0,9.3
2796.0,9.31
2808.0,9.32
2820.0,9.33
2832.0,9.34
2843.0,9.35
2855.0,9.36
2867.0,9.37
2879.0,9.38
2891.0,9.39
2903.0,9.4
2915.0,9.41
2927.0,9.42
2939.0,9.43
2951.0,9.44
2963.0,9.45
2975.0,9.46
2988.0,9.47
3000.0,9.48
3013.0,9.49
3026.0,9.5
3039.0,9.51
3052.0,9.52
3065.0,9.53
3078.0,9.54
3091.0,9.55
3104.0,9.56
3117.0,9.57
3131.0,9.58
3144.0,9.59
3157.0,9.6
3171.0,9.61
3184.0,9.62
3198.0,9.63
3211.0,9.64
3225.0,9.65
3238.0,9.66
3252.0,9.67
3266.0,9.68
3279.0,9.69
3293.0,9.7
3307.0,9.71
3321.0,9.72
3335.0,9.73
3349.0,9.74
3363.0,9.75
3377.0,9.76
3391.0,9.77
3405.0,9.78
3419.0,9.79
3433.0,9.8
3447.0,9.81
3462.0,9.82
3476.0,9.83
3491.0,9.84
3505.0,9.85
3519.0,9.86
3534.0,9.87
3549.0,9.88
3563.0,9.89
3578.0,9.9
3593.0,9.91
3607.0,9.92
3622.0,9.93
3637.0,9.94
3652.0,9.95
3667.0,9.96
3682.0,9.97
3697.0,9.98
3712.0,9.99
3727.0,10.0
3742.0,10.01
3757.0,10.02
3773.0,10.03
3788.0,10.04
3803.0,10.05
3819.0,10.06
3834.0,10.07
3850.0,10.08
3865.0,10.09
3881.0,10.1
3896.0,10.11
3912.0,10.12
3928.0,10.13
3944.0,10.14
3959.0,10.15
3975.0,10.16
3991.0,10.17
4007.0,10.18
4023.0,10.19
4039.0,10.2
4055.0,10.21
4071.0,10.22
4088.0,10.23
4104.0,10.24
4120.0,10.25
4137.0,10.26
4153.0,10.27
4169.0,10.28
4186.0,10.29
4203.0,10.3
4219.0,10.31
4236.0,10.32
4253.0,10.33
4269.0,10.34
4286.0,10.35
4303.0,10.36
4320.0,10.37
4337.0,10.38
4354.0,10.39
4371.0,10.4
4388.0,10.41
4405.0,10.42
4422.0,10.43
4440.0,10.44
4457.0,10.45
4474.0,10.46
4492.0,10.47
4509.0,10.48
4527.0,10.49
4544.0,10.5
4562.0,10.51
4579.0,10.52
4597.0,10.53
4615.0,10.54
4633.0,10.55
4651.0,10.56
4668.0,10.57
4686.0,10.58
4704.0,10.59
4723.0,10.6
4741.0,10.61
4759.0,10.62
4777.0,10.63
4795.0,10.64
4814.0,10.65
4832.0,10.66
4851.0,10.67
4869.0,10.68
4888.0,10.69
4906.0,10.7
4925.0,10.71
4944.0,10.72
4962.0,10.73
4981.0,10.74
5000.0,10.75
5039.0,10.76
5079.0,10.77
5118.0,10.78
5158.0,10.79
5198.0,10.8
5239.0,10.81
5280.0,10.82
5321.0,10.83
5362.0,10.84
5404.0,10.85
5446.0,10.86
5488.0,10.87
5530.0,10.88
5573.0,10.89
5616.0,10.9
5660.0,10.91
5703.0,10.92
5747.0,10.93
5792.0,10.94
5836.0,10.95
5881.0,10.96
5926.0,10.97
5972.0,10.98
6017.0,10.99
6063.0,11.0
6110.0,11.01
6156.0,11.02
6203.0,11.03
6251.0,11.04
6298.0,11.05
6346.0,11.06
6395.0,11.07
6443.0,11.08
6492.0,11.09
6542.0,11.1
6591.0,11.11
6641.0,11.12
6691.0,11.13
6742.0,11.14
6793.0,11.15
6844.0,11.16
6896.0,11.17
6948.0,11.18
7000.0,11.19
7043.0,11.2
7086.0,11.21
7129.0,11.22
7173.0,11.23
7216.0,11.24
7260.0,11.25
7305.0,11.26
7349.0,11.27
7394.0,11.28
7438.0,11.29
7484.0,11.3
7529.0,11.31
7574.0,11.32
7620.0,11.33
7666.0,11.34
7713.0,11.35
7759.0,11.36
7806.0,11.37
7853.0,11.38
7900.0,11.39
7948.0,11.4
7995.0,11.41
8043.0,11.42
8092.0,11.43
8140.0,11.44
8189.0,11.45
8238.0,11.46
8287.0,11.47
8336.0,11.48
8386.0,11.49
8436.0,11.5
8486.0,11.51
8537.0,11.52
8588.0,11.53
8638.0,11.54
8690.0,11.55
8741.0,11.56
8793.0,11.57
8845.0,11.58
8897.0,11.59
8950.0,11.6
9003.0,11.61
9056.0,11.62
9109.0,11.63
9163.0,11.64
9217.0,11.65
9271.0,11.66
9325.0,11.67
9380.0,11.68
9435.0,11.69
9490.0,11.7
9546.0,11.71
9602.0,11.72
9658.0,11.73
9714.0,11.74
9771.0,11.75
9828.0,11.76
9885.0,11.77
9942.0,11.78
10000.0,11.79
10050.0,11.8
10110.0,11.81
10160.0,11.82
10210.0,11.83
10270.0,11.84
10320.0,11.85
10380.0,11.86
10430.0,11.87
10490.0,11.88
10540.0,11.89
10600.0,11.9
10650.0,11.91
10710.0,11.92
10760.0,11.93
10820.0,11.94
10880.0,11.95
10930.0,11.96
10990.0,11.97
11050.0,11.98
11110.0,11.99
11160.0,12.0
11220.0,12.01
11280.0,12.02
11340.0,12.03
11400.0,12.04
11460.0,12.05
11520.0,12.06
11580.0,12.07
11640.0,12.08
11700.0,12.09
11760.0,12.1
11820.0,12.11
11880.0,12.12
11940.0,12.13
12000.0,12.14
12060.0,12.15
12120.0,12.16
12180.0,12.17
12240.0,12.18
12310.0,12.19
12370.0,12.2
12430.0,12.21
12490.0,12.22
12560.0,12.23
12620.0,12.24
12680.0,12.25
12750.0,12.26
12810.0,12.27
12870.0,12.28
12940.0,12.29
13000.0,12.3
13070.0,12.31
13130.0,12.32
13200.0,12.33
13260.0,12.34
13330.0,12.35
13400.0,12.36
13460.0,12.37
13530.0,12.38
13600.0,12.39
13660.0,12.4
13730.0,12.41
13800.0,12.42
13870.0,12.43
13940.0,12.44
14010.0,12.45
14080.0,12.46
14140.0,12.47
14210.0,12.48
14280.0,12.49
14350.0,12.5
14430.0,12.51
14500.0,12.52
14570.0,12.53
14640.0,12.54
14710.0,12.55
14780.0,12.56
14850.0,12.57
14930.0,12.58
15000.0,12.59
